,company,comp_id
392,"ОАО МТО ""Лазурь""",21586
393,"АО ""1 МПЗ им. В.А. Казакова""",6866
394,"ЗАО ""Спиринское""",4505
395,"ОАО ""ВНИПИнефть""",25352
396,X5 Retail Group,37240
397,"АО ""Трест Мурманскморстрой""",13804
398,"ОАО ""Инвестор""",19805
399,ПАО Ставропольпромстройбанк,3573
400,"ОАО ""Удмуртнефть""",1370
401,"ООО ""ФИНКОНСАЛТ""",37156
402,"ПАО ""Уралкалий""",1233
403,"ОАО ""РЖД""",4543
404,"ПАО ""Тулачермет""",1605
405,"ПАО ""Санкт-Петербургская биржа"" или ПАО ""СПБ""",4566
406,ОАО «СЕРВИС-ЛЮКС»,34843
407,"ПАО ""Норвик Банк""",2176
408,"ПАО ""Полюс""",7832
409,"ПАО ""АТП ЯЭ-холдинг""",7147
410,"АО Банк ""Онего""",1902
411,"ОАО ""Вяткаагроснаб""",8025
412,"АО ""ЦЭЧМ""",36337
413,АО им. Н.Е. Токарликова,9642
414,"ОАО ""Рикор Электроникс""",7552
415,"ООО ""Трейдберри""",37661
416,"ПАО ""ТД ""Холдинг-Центр""",260
417,"ПАО ""Аэропорт Кольцово""",4565
418,"ПАО ""ИНЭУМ им. И.С. Брука""",6123
419,"АО ""ЛОМО""",439
420,"ПАО ""Форест""",3433
421,"ОАО ""Фабрика производства платков""",22308
422,"ПАО ""Мордовская энергосбытовая компания""; ПАО ""Мордовэнергосбыт""",5754
423,"ООО Специализированный застройщик ""СК Легион""",37393
424,"ПАО ""Промсвязьбанк""",617
425,"ПАО ""Муссон""",35135
426,"ПАО ""СН-МНГ""",568
427,"ПАО ""ОДК-Кузнецов""",21279
428,"АО ""Домодедовская инициатива""",25201
429,"ПАО ""Ижорские заводы""",2030
430,"ОАО ""Терминал Астафьева""",2722
431,"АО ""Завод Автосвет""",983
432,"ОАО ""Сыродел""",5932
433,"АО ""ПОЛИМЕР""",18494
434,"Инженерно-технический центр ОАО ""Вега""",22200
435,АО ПИ КЧАПП,8046
436,"АО ""ПИиНИИ ВТ ""Ленаэропроект""",12897
437,"АО ""Банк Интеза""",1891
438,"ПАО ""Витабанк""",815
439,ОАО ИНВЕСТСЕРВИС,1433
440,"ПАО ""ГК ""Космос""",1350
441,"ПАО ""Завод ""Радиоприбор""",16650
442,АО «ПО «УОМЗ»,9179
443,"АО ""Энергопром""",9577
444,"ООО ""ФЭС-Агро""",37730
445,"АО ""Нижегородский водоканал""",22689
446,"АО ""Автоколонна-1425""",10409
447,"ПАО ""Корпорация ""Иркут""",id=76
448,"ЗАО ""Агрофирма ""Победа""",36653
449,ЗАО «ПЛЕМЗАВОД «АЛЕКСАНДРОВО»,38143
450,"ПАО ""Барановское""",9359
451,"ОАО МВЦ “Интерсиб""",22141
452,"АО ""ПАИЖК""",20342
453,ПАО «ГУСЬ-АГРО»,14450
454,"АО ""Красный Перекоп""",7131
455,"ОАО НПО ""Химавтоматика""",10737
456,"ЗАО ""Левокумское""",2307
457,"ПАО ""ИНВЕСТ-ДЕВЕЛОПМЕНТ""",34421
458,"ОАО ""ДСК""",22786
459,"ПАО ""ОИРП""",7354
460,"АО ""ИФКУР-Забота""",134
461,"ПАО ""МЕТКОМБАНК""",1436
462,ОАО «Мосстройпрогресс»,4239
463,АО «ФЕОДОСИЙСКОЕ АТП № 14312»,36172
464,"АО ""Пензенское объединение автовокзалов""",15715
465,"АО СПК ""Смоленскагропромдорстрой""",22461
466,"ПАО ""ЯСЗ""",6449
467,"ООО ""ТЕХНО Лизинг""",37765
468,"АО ""Перлит""",35691
469,"АО ""Газпром газораспределение Киров""",12670
470,"АО ""Микротехника""",23956
471,"ОАО ""Дорожное эксплуатационное предприятие №184""",32867
472,"ООО ""Пионер-Лизинг""",37349
473,"ОАО ""БЗРТО""",4143
474,"АО ""Ярстройтехника""",29729
475,ЗАО «КРАУС-М»,36405
476,"ОАО ""Колос""",14801
477,"АО ""Северное ПКБ""",17353
478,ОАО ВНИПИ Тяжпромэлектропроект,11639
479,"ОАО ""Суземское РТП""",18750
480,ЗАО «Ламбумиз»,36391
